window,min_ev,filter,max_ratio,kill_switch,is_roi,is_bets,is_pos,is_seasons,is_bk
sliding_5,0.04,base+X[3.70-4.50),1.25,si,0.0457,258,4,8,1118.0
expanding,0.07,base,1.2,no,0.0456,244,5,8,1111.2
sliding_9,0.07,base,1.2,no,0.0456,244,5,8,1111.2
expanding,0.06,base,1.2,si,0.0449,219,5,8,1098.3
sliding_3,0.06,base,none,no,0.0449,338,6,8,1151.8
sliding_4,0.04,solo_X[3.50-4.50),1.2,no,0.0449,148,4,8,1066.5
sliding_9,0.06,base,1.2,si,0.0449,219,5,8,1098.3
sliding_3,0.07,base+X[3.70-4.50),none,si,0.0449,251,5,8,1112.6
sliding_7,0.04,base,1.15,si,0.0446,218,5,8,1097.2
sliding_7,0.04,base,1.25,si,0.0442,276,5,8,1122.1
sliding_7,0.05,base,1.2,no,0.0442,295,4,8,1130.4
sliding_3,0.06,base+X[3.70-4.50),1.25,no,0.0441,346,5,8,1152.7
sliding_3,0.07,base+X[3.50-4.50),1.2,si,0.044,244,4,8,1107.4
sliding_3,0.05,base,none,no,0.044,362,5,8,1159.4
sliding_3,0.03,base,1.15,no,0.044,260,5,8,1114.3
sliding_3,0.07,base,none,si,0.0439,231,6,8,1101.5
sliding_3,0.04,base+X[3.50-4.50),1.2,no,0.0437,439,5,8,1191.8
sliding_4,0.04,solo_X[3.50-4.50),none,no,0.0437,171,4,8,1074.8
sliding_7,0.03,base,1.2,si,0.0435,251,4,8,1109.2
sliding_5,0.07,base,1.25,no,0.0435,279,4,8,1121.5
sliding_3,0.04,base+X[3.70-4.50),1.2,no,0.0433,371,4,8,1160.8
sliding_4,0.05,base+X[3.50-4.50),1.2,si,0.0432,252,3,8,1108.9
sliding_3,0.04,base+X[3.70-4.50),1.15,no,0.0429,302,4,8,1129.7
sliding_3,0.04,base,1.15,si,0.0425,185,5,8,1078.7
sliding_7,0.06,base,1.2,no,0.0417,267,5,8,1111.3
sliding_3,0.06,base+X[3.70-4.50),none,no,0.0417,421,4,8,1175.6
sliding_3,0.07,base+X[3.50-4.50),1.25,no,0.0415,365,5,8,1151.5
sliding_3,0.06,base+X[3.70-4.50),1.2,si,0.0413,228,5,8,1094.2
sliding_3,0.04,base+X[3.50-4.50),1.25,no,0.0406,488,5,8,1198.0
